timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,packets,duration_ms
2025-03-01T00:46:48Z,10.0.1.11,192.0.2.23,58492,443,TCP,11510,180848,57,110998
2025-03-01T00:46:56Z,10.0.1.12,192.0.2.22,58334,80,TCP,2379,21288,195,67751
2025-03-01T00:47:07Z,10.0.1.7,192.0.2.19,51824,443,TCP,46945,22526,176,62980
2025-03-01T00:47:14Z,10.0.1.1,192.0.2.18,59612,80,TCP,37866,185852,112,80537
2025-03-01T00:47:34Z,10.0.1.6,192.0.2.14,56763,443,TCP,17067,7535,168,80924
2025-03-01T00:48:11Z,10.0.1.3,192.0.2.10,53059,443,TCP,22477,177869,5,101396
2025-03-01T00:48:37Z,10.0.1.6,192.0.2.19,53664,443,TCP,46002,102009,180,14222
2025-03-01T00:49:07Z,10.0.1.4,192.0.2.23,55071,443,TCP,33613,185839,29,7227
2025-03-01T00:49:41Z,10.0.1.10,192.0.2.22,57876,443,TCP,41966,188409,185,18911
2025-03-01T00:51:02Z,10.0.1.2,192.0.2.22,51556,443,TCP,8269,61174,19,67960
2025-03-01T00:51:33Z,10.0.1.8,192.0.2.24,55786,443,TCP,8846,31428,135,89172
2025-03-01T00:51:38Z,10.0.1.14,192.0.2.19,61587,53,UDP,40222,161436,20,100421
2025-03-01T00:53:00Z,10.0.1.13,192.0.2.12,57049,443,TCP,32812,67496,198,63343
2025-03-01T00:53:41Z,10.0.1.4,10.0.1.5,57255,22,TCP,9257,19580,25,14792
2025-03-01T00:53:44Z,10.0.1.12,192.0.2.21,59557,80,TCP,27167,142971,56,59649
2025-03-01T00:54:00Z,10.0.1.15,192.0.2.11,49395,443,TCP,28921,64258,51,33555
2025-03-01T00:54:41Z,10.0.1.1,10.0.1.5,56708,3389,TCP,15413,12183,11,6704
2025-03-01T00:54:44Z,10.0.1.8,192.0.2.12,57933,8080,TCP,8166,97913,165,113644
2025-03-01T00:54:53Z,10.0.1.12,192.0.2.24,55453,53,UDP,31766,53622,7,40074
2025-03-01T00:55:28Z,10.0.1.3,192.0.2.14,56016,53,UDP,11010,82696,106,25912
2025-03-01T00:56:11Z,10.0.1.13,10.0.1.12,60978,445,TCP,7551,7955,45,23868
2025-03-01T00:56:16Z,10.0.1.3,192.0.2.15,56528,80,TCP,40114,29177,115,8948
2025-03-01T00:56:50Z,10.0.1.8,10.0.1.6,65015,8080,TCP,9184,13541,49,27073
2025-03-01T00:57:31Z,10.0.1.6,10.0.1.7,60988,8080,TCP,12119,5381,7,16681
2025-03-01T00:57:36Z,10.0.1.15,192.0.2.11,49593,80,TCP,19262,85979,38,48067
2025-03-01T00:58:13Z,10.0.1.14,10.0.1.13,50718,22,TCP,16591,9987,28,23679
2025-03-01T00:58:32Z,10.0.1.14,192.0.2.13,57220,8080,TCP,37931,193328,109,9491
2025-03-01T00:58:40Z,10.0.1.2,10.0.1.1,52031,3389,TCP,7941,16192,40,26229
2025-03-01T00:59:13Z,10.0.1.2,192.0.2.12,52362,443,TCP,11886,2131,43,57527
2025-03-01T00:59:26Z,10.0.1.8,192.0.2.22,65424,443,TCP,30178,191642,61,5895
2025-03-01T00:59:26Z,10.0.1.10,10.0.1.9,50040,8080,TCP,17040,12206,5,10064
2025-03-01T00:59:47Z,10.0.1.15,192.0.2.17,65044,443,TCP,49362,168327,13,98716
2025-03-01T01:00:08Z,10.0.1.15,192.0.2.20,58178,443,TCP,3938,122363,160,64020
2025-03-01T01:00:35Z,10.0.1.7,192.0.2.18,60730,80,TCP,24394,134304,168,10171
2025-03-01T01:00:51Z,10.0.1.2,192.0.2.14,59001,80,TCP,34382,71248,100,60786
2025-03-01T01:00:54Z,10.0.1.2,192.0.2.24,50052,80,TCP,26221,16103,94,48024
2025-03-01T01:01:34Z,10.0.1.14,192.0.2.13,57781,80,TCP,29510,91078,123,78935
2025-03-01T01:01:59Z,10.0.1.8,192.0.2.21,61291,80,TCP,42625,2006,162,70269
2025-03-01T01:02:18Z,10.0.1.10,192.0.2.12,59518,443,TCP,16361,50946,133,119262
2025-03-01T01:02:22Z,10.0.1.1,192.0.2.20,57034,80,TCP,7266,9916,5,10191
2025-03-01T01:02:40Z,10.0.1.2,192.0.2.22,59693,443,TCP,9804,30913,82,118918
2025-03-01T01:02:40Z,10.0.1.7,192.0.2.25,57869,53,UDP,15817,79858,17,6521
2025-03-01T01:03:37Z,10.0.1.3,192.0.2.19,58322,443,TCP,11734,48315,86,47610
2025-03-01T01:03:45Z,10.0.1.13,192.0.2.19,62394,443,TCP,36711,36081,184,90720
2025-03-01T01:04:53Z,10.0.1.14,10.0.1.15,61972,3389,TCP,10599,2738,33,2354
2025-03-01T01:05:37Z,10.0.1.4,192.0.2.20,59565,80,TCP,44013,7479,60,16498
2025-03-01T01:05:59Z,10.0.1.8,192.0.2.22,63880,80,TCP,6801,59660,134,113586
2025-03-01T01:06:13Z,10.0.1.8,192.0.2.10,50804,443,TCP,32881,31569,41,51017
2025-03-01T01:06:15Z,10.0.1.2,192.0.2.11,60050,443,TCP,48081,146079,145,94007
2025-03-01T01:07:03Z,10.0.1.13,192.0.2.19,60477,443,TCP,16271,20895,162,100135
2025-03-01T01:07:08Z,10.0.1.9,192.0.2.24,58942,53,UDP,41449,51557,194,38682
2025-03-01T01:07:33Z,10.0.1.9,192.0.2.11,60281,80,TCP,2233,165628,116,23575
2025-03-01T01:07:44Z,10.0.1.4,192.0.2.19,52158,80,TCP,9187,15481,136,65105
2025-03-01T01:07:58Z,10.0.1.15,192.0.2.14,62381,8080,TCP,41867,47287,151,50265
2025-03-01T01:09:27Z,10.0.1.4,192.0.2.11,53668,8080,TCP,33582,163232,158,78607
2025-03-01T01:09:27Z,10.0.1.12,192.0.2.11,54043,80,TCP,46289,86360,67,115211
2025-03-01T01:09:40Z,10.0.1.5,192.0.2.22,50443,443,TCP,31098,70242,163,52917
2025-03-01T01:09:47Z,10.0.1.3,192.0.2.25,56704,443,TCP,23954,98808,43,82269
2025-03-01T01:09:51Z,10.0.1.2,10.0.1.3,60958,8080,TCP,12892,12696,31,25603
2025-03-01T01:09:55Z,10.0.1.11,192.0.2.25,57607,80,TCP,35702,52233,189,97727
2025-03-01T01:11:39Z,10.0.1.10,192.0.2.24,50562,443,TCP,43498,72702,46,57651
2025-03-01T01:12:36Z,10.0.1.5,192.0.2.23,50396,8080,TCP,34565,49752,83,82430
2025-03-01T01:13:49Z,10.0.1.14,192.0.2.25,57010,53,UDP,38400,58589,10,98704
2025-03-01T01:14:04Z,10.0.1.10,192.0.2.24,50701,443,TCP,37156,120640,109,104852
2025-03-01T01:15:29Z,10.0.1.1,10.0.1.5,62677,445,TCP,14789,3112,43,1690
2025-03-01T01:17:54Z,10.0.1.1,192.0.2.23,64782,443,TCP,6895,173517,143,57084
2025-03-01T01:18:48Z,10.0.1.11,192.0.2.14,49445,443,TCP,36264,62241,173,108305
2025-03-01T01:19:17Z,10.0.1.4,10.0.1.5,61547,22,TCP,2888,17725,4,11177
2025-03-01T01:20:04Z,10.0.1.1,192.0.2.20,63110,443,TCP,46112,78059,107,104319
2025-03-01T01:20:21Z,10.0.1.3,192.0.2.25,64133,443,TCP,26193,6122,43,112334
2025-03-01T01:20:44Z,10.0.1.14,192.0.2.18,52810,443,TCP,13832,20605,187,61126
2025-03-01T01:21:30Z,10.0.1.7,192.0.2.22,49982,443,TCP,22668,61942,69,33470
2025-03-01T01:22:47Z,10.0.1.8,192.0.2.13,58549,443,TCP,36120,149961,12,83463
2025-03-01T01:24:21Z,10.0.1.10,192.0.2.12,64959,443,TCP,2173,179757,154,39417
2025-03-01T01:25:24Z,10.0.1.15,192.0.2.16,64914,8080,TCP,1754,148068,91,51725
2025-03-01T01:25:37Z,10.0.1.15,192.0.2.17,57595,53,UDP,43701,45973,142,25764
2025-03-01T01:25:48Z,10.0.1.9,192.0.2.16,54644,80,TCP,5323,15942,113,85496
2025-03-01T01:26:16Z,10.0.1.2,192.0.2.16,65048,443,TCP,42835,109096,173,19705
2025-03-01T01:26:50Z,10.0.1.9,10.0.1.15,58492,445,TCP,19746,7141,48,17184
2025-03-01T01:27:28Z,10.0.1.14,192.0.2.10,54141,443,TCP,12498,106443,154,73915
2025-03-01T01:27:31Z,10.0.1.1,192.0.2.24,60477,443,TCP,27093,15772,27,4976
2025-03-01T01:28:09Z,10.0.1.15,192.0.2.15,61371,443,TCP,40706,86365,158,910
2025-03-01T01:28:48Z,10.0.1.1,192.0.2.25,56087,80,TCP,1217,18052,26,12147
2025-03-01T01:30:03Z,10.0.1.15,10.0.1.9,60473,8080,TCP,3566,7399,49,5426
2025-03-01T01:30:11Z,10.0.1.8,192.0.2.15,53228,443,TCP,14521,40142,19,91523
2025-03-01T01:30:29Z,10.0.1.9,10.0.1.10,54984,22,TCP,10868,3431,47,21338
2025-03-01T01:30:50Z,10.0.1.1,10.0.1.2,52769,8080,TCP,966,5776,14,22144
2025-03-01T01:32:20Z,10.0.1.12,192.0.2.11,60466,443,TCP,49639,187570,30,33037
2025-03-01T01:32:22Z,10.0.1.15,192.0.2.13,60640,443,TCP,1535,182408,158,26558
2025-03-01T01:33:05Z,10.0.1.14,192.0.2.25,50877,80,TCP,27114,173786,182,119823
2025-03-01T01:33:24Z,10.0.1.2,192.0.2.19,62142,443,TCP,5488,30017,84,60169
2025-03-01T01:33:25Z,10.0.1.12,192.0.2.25,56061,443,TCP,43335,58990,129,116105
2025-03-01T01:34:30Z,10.0.1.8,192.0.2.24,63707,8080,TCP,43402,188037,6,77382
2025-03-01T01:35:07Z,10.0.1.5,192.0.2.23,61340,443,TCP,36951,104429,187,118162
2025-03-01T01:35:07Z,10.0.1.15,10.0.1.14,50020,3389,TCP,3540,9687,22,12171
2025-03-01T01:35:35Z,10.0.1.5,192.0.2.14,52934,443,TCP,22825,70165,15,27003
2025-03-01T01:38:04Z,10.0.1.13,10.0.1.14,57986,3389,TCP,5266,13069,18,1363
2025-03-01T01:38:14Z,10.0.1.10,192.0.2.23,52433,443,TCP,9247,14590,48,47571
2025-03-01T01:38:49Z,10.0.1.6,192.0.2.10,63453,443,TCP,41778,38954,162,13767
2025-03-01T01:39:04Z,10.0.1.13,192.0.2.23,61993,443,TCP,7029,174391,122,33160
2025-03-01T01:39:51Z,10.0.1.5,192.0.2.25,53311,53,UDP,28560,163273,128,60189
2025-03-01T01:39:56Z,10.0.1.12,192.0.2.22,51641,80,TCP,26096,131842,128,83262
2025-03-01T01:40:19Z,10.0.1.6,192.0.2.25,59510,443,TCP,18674,19089,91,27996
2025-03-01T01:40:38Z,10.0.1.1,192.0.2.13,59360,80,TCP,31262,18135,94,97124
2025-03-01T01:41:00Z,10.0.1.8,192.0.2.25,64243,80,TCP,18259,101736,195,40462
2025-03-01T01:41:58Z,10.0.1.4,192.0.2.19,51598,80,TCP,42078,10738,25,76592
2025-03-01T01:42:22Z,10.0.1.2,10.0.1.1,53010,8080,TCP,7213,11755,15,21878
2025-03-01T01:42:49Z,10.0.1.11,192.0.2.19,65415,443,TCP,28357,45621,129,94999
2025-03-01T01:42:50Z,10.0.1.4,192.0.2.11,52638,443,TCP,19086,22346,66,116445
2025-03-01T01:42:54Z,10.0.1.4,192.0.2.15,63140,443,TCP,8405,140121,112,100683
2025-03-01T01:43:07Z,10.0.1.7,10.0.1.8,63482,8080,TCP,3817,13658,42,19870
2025-03-01T01:43:13Z,10.0.1.8,192.0.2.24,52779,443,TCP,7485,189926,162,90256
2025-03-01T01:43:14Z,10.0.1.6,192.0.2.11,55209,53,UDP,15572,100279,45,91077
2025-03-01T01:43:20Z,10.0.1.10,10.0.1.9,63269,445,TCP,2351,14306,41,10482
2025-03-01T01:43:55Z,10.0.1.6,10.0.1.8,52541,3389,TCP,6564,13761,21,7827
2025-03-01T01:44:40Z,10.0.1.12,10.0.1.13,58238,8080,TCP,6915,18274,50,17729
2025-03-01T01:45:07Z,10.0.1.5,10.0.1.1,61964,22,TCP,11563,15852,12,25619
2025-03-01T01:45:10Z,10.0.1.7,192.0.2.13,54908,443,TCP,49081,148636,155,37831
2025-03-01T01:45:45Z,10.0.1.2,192.0.2.23,57402,443,TCP,16542,175758,45,10410
2025-03-01T01:46:04Z,10.0.1.1,192.0.2.21,50123,443,TCP,38229,14715,53,77547
2025-03-01T01:47:09Z,10.0.1.13,192.0.2.12,64550,80,TCP,35782,169199,87,98887
2025-03-01T01:47:31Z,10.0.1.13,192.0.2.23,60737,53,UDP,3586,18761,140,70466
2025-03-01T01:47:33Z,10.0.1.15,192.0.2.15,64626,53,UDP,4778,61786,76,88713
2025-03-01T01:47:45Z,10.0.1.3,192.0.2.16,49460,443,TCP,23495,52505,68,55864
2025-03-01T01:50:15Z,10.0.1.3,192.0.2.10,65479,8080,TCP,24369,150764,52,40854
2025-03-01T01:52:34Z,10.0.1.13,192.0.2.23,64140,53,UDP,45483,99433,36,10407
2025-03-01T01:53:14Z,10.0.1.14,192.0.2.24,51623,53,UDP,21787,44557,118,112623
2025-03-01T01:53:32Z,10.0.1.5,192.0.2.12,64535,443,TCP,49674,193942,80,87938
2025-03-01T01:53:38Z,10.0.1.6,10.0.1.7,57592,3389,TCP,3574,3793,28,21473
2025-03-01T01:54:01Z,10.0.1.8,10.0.1.6,57167,3389,TCP,9084,9610,30,4793
2025-03-01T01:54:18Z,10.0.1.10,10.0.1.11,53927,22,TCP,18308,13381,36,10113
2025-03-01T01:54:31Z,10.0.1.12,192.0.2.25,64016,443,TCP,13817,12826,154,87040
2025-03-01T01:54:42Z,10.0.1.9,192.0.2.23,55262,443,TCP,37589,148301,7,96177
2025-03-01T01:55:01Z,10.0.1.12,192.0.2.13,55042,80,TCP,36377,42749,141,22046
2025-03-01T01:55:15Z,10.0.1.6,192.0.2.23,55914,443,TCP,13657,135756,173,72121
2025-03-01T01:55:23Z,10.0.1.4,10.0.1.3,49476,3389,TCP,5170,10365,7,3517
2025-03-01T01:56:09Z,10.0.1.11,10.0.1.12,49292,3389,TCP,18856,1214,43,15744
2025-03-01T01:56:20Z,10.0.1.13,10.0.1.12,64106,3389,TCP,6204,4008,22,12987
2025-03-01T01:56:35Z,10.0.1.7,192.0.2.11,52388,443,TCP,11777,43536,10,2044
2025-03-01T01:56:50Z,10.0.1.14,192.0.2.23,63516,53,UDP,40854,151031,189,107353
2025-03-01T01:57:23Z,10.0.1.6,192.0.2.18,51095,80,TCP,5421,25288,152,73879
2025-03-01T01:57:30Z,10.0.1.3,10.0.1.2,50024,445,TCP,3559,3031,9,11952
2025-03-01T01:57:46Z,10.0.1.11,192.0.2.11,53121,8080,TCP,22259,165866,29,41499
2025-03-01T02:00:01Z,10.0.1.11,192.0.2.21,52465,53,UDP,6513,198683,137,53301
2025-03-01T02:01:36Z,10.0.1.13,192.0.2.17,49762,443,TCP,36097,56813,17,104476
2025-03-01T02:01:49Z,10.0.1.10,192.0.2.16,60317,8080,TCP,49335,19288,48,45771
2025-03-01T02:02:09Z,10.0.1.5,192.0.2.12,51494,443,TCP,47008,95850,163,55353
2025-03-01T02:02:11Z,10.0.1.4,192.0.2.15,59799,443,TCP,19156,30910,123,98218
2025-03-01T02:02:23Z,10.0.1.3,10.0.1.2,52238,8080,TCP,16779,4307,50,1816
2025-03-01T02:03:54Z,10.0.1.7,192.0.2.16,65324,443,TCP,30719,12784,12,84479
2025-03-01T02:04:13Z,10.0.1.1,192.0.2.22,61280,443,TCP,2366,74073,91,9844
2025-03-01T02:04:16Z,10.0.1.15,10.0.1.9,55551,3389,TCP,5852,6697,32,21347
2025-03-01T02:04:32Z,10.0.1.14,192.0.2.11,62131,443,TCP,6978,84493,143,33541
2025-03-01T02:04:39Z,10.0.1.8,192.0.2.22,56908,80,TCP,40621,154134,12,68101
2025-03-01T02:06:19Z,10.0.1.11,192.0.2.21,62787,443,TCP,27936,120508,157,20515
2025-03-01T02:06:24Z,10.0.1.1,192.0.2.18,63052,443,TCP,33698,53743,99,83978
2025-03-01T02:06:32Z,10.0.1.8,192.0.2.10,64917,443,TCP,31629,49205,148,73098
2025-03-01T02:06:56Z,10.0.1.5,10.0.1.1,58833,8080,TCP,4390,13610,36,23515
2025-03-01T02:07:34Z,10.0.1.9,192.0.2.10,55625,443,TCP,34489,105724,44,101456
2025-03-01T02:08:15Z,10.0.1.9,192.0.2.10,52994,80,TCP,36842,74575,127,117899
2025-03-01T02:08:16Z,10.0.1.15,192.0.2.22,51684,443,TCP,11128,183536,109,54188
2025-03-01T02:08:21Z,10.0.1.9,10.0.1.15,59562,445,TCP,17271,13867,3,4602
2025-03-01T02:10:02Z,10.0.1.11,192.0.2.22,55127,8080,TCP,33679,84374,103,94642
2025-03-01T02:10:04Z,10.0.1.10,192.0.2.15,56530,80,TCP,42663,134522,69,26792
2025-03-01T02:10:15Z,10.0.1.3,192.0.2.10,55844,443,TCP,39556,56057,17,2050
2025-03-01T02:10:37Z,10.0.1.12,10.0.1.11,65096,445,TCP,6836,11019,7,12972
2025-03-01T02:10:45Z,10.0.1.1,192.0.2.24,50338,53,UDP,17743,172296,155,980
2025-03-01T02:10:52Z,10.0.1.9,192.0.2.19,52493,443,TCP,13921,88856,172,111381
2025-03-01T02:11:24Z,10.0.1.3,192.0.2.19,52645,443,TCP,18304,28261,131,100187
2025-03-01T02:13:23Z,10.0.1.10,10.0.1.11,50682,445,TCP,18323,14238,41,15489
2025-03-01T02:14:15Z,10.0.1.3,192.0.2.14,50686,443,TCP,45350,51187,100,31125
2025-03-01T02:14:15Z,10.0.1.11,192.0.2.22,58147,443,TCP,21358,85923,84,95470
2025-03-01T02:14:28Z,10.0.1.11,192.0.2.18,49736,443,TCP,45337,166383,183,110229
2025-03-01T02:15:13Z,10.0.1.2,192.0.2.21,54234,443,TCP,5481,175255,121,55196
2025-03-01T02:15:30Z,10.0.1.14,192.0.2.13,64183,443,TCP,7264,17430,106,64407
2025-03-01T02:15:55Z,10.0.1.15,192.0.2.24,53741,443,TCP,38877,74564,192,79756
2025-03-01T02:16:28Z,10.0.1.5,192.0.2.15,60616,53,UDP,11964,172478,182,70415
2025-03-01T02:16:55Z,10.0.1.12,192.0.2.18,62483,443,TCP,31759,75949,11,45154
2025-03-01T02:17:42Z,10.0.1.12,192.0.2.24,61966,80,TCP,39055,13875,107,46886
2025-03-01T02:18:15Z,10.0.1.8,192.0.2.12,53317,80,TCP,16673,18723,167,78026
2025-03-01T02:19:12Z,10.0.1.14,10.0.1.15,52959,3389,TCP,18460,16220,23,18807
2025-03-01T02:19:34Z,10.0.1.5,192.0.2.24,64390,443,TCP,3500,93517,114,111373
2025-03-01T02:19:45Z,10.0.1.13,192.0.2.13,62342,443,TCP,12032,13673,125,98661
2025-03-01T02:20:35Z,10.0.1.9,192.0.2.11,59108,8080,TCP,8189,77404,144,89771
2025-03-01T02:20:48Z,10.0.1.2,192.0.2.21,50334,443,TCP,10394,90008,130,61479
2025-03-01T02:21:17Z,10.0.1.8,192.0.2.10,53087,443,TCP,21491,136496,173,75094
2025-03-01T02:21:20Z,10.0.1.7,10.0.1.8,57016,3389,TCP,5781,13417,32,14520
2025-03-01T02:21:35Z,10.0.1.7,192.0.2.17,57676,53,UDP,18969,82476,95,109779
2025-03-01T02:21:39Z,10.0.1.12,192.0.2.23,53400,443,TCP,31459,147010,59,57732
2025-03-01T02:22:02Z,10.0.1.11,10.0.1.12,54263,3389,TCP,2812,4245,22,16156
2025-03-01T02:22:20Z,10.0.1.9,192.0.2.13,60517,443,TCP,27032,197092,67,18393
2025-03-01T02:22:49Z,10.0.1.9,192.0.2.14,58911,80,TCP,18141,61973,54,110181
2025-03-01T02:23:07Z,10.0.1.4,192.0.2.21,49760,8080,TCP,24628,32560,182,84184
2025-03-01T02:23:55Z,10.0.1.4,192.0.2.16,56203,80,TCP,23832,144552,17,66341
