University,Program,Department,Degree Level,Annual Tuition In-State,Annual Tuition Out-of-State,Program Ranking,Has Co-op,Has Online Option,Avg Starting Salary
Michigan State University,Data Science,Engineering,BS,14750,40178,60,No,No,70000
University of Maryland,Computer Science,CMNS,BS,10779,39000,16,No,No,98000
University of Maryland,Data Science,CMNS,BS,10779,39000,20,No,No,90000
University of Maryland,Cybersecurity,CMNS,BS,10779,39000,8,No,No,92000
North Carolina State University,Computer Science,Engineering,BS,9128,29220,42,Yes,No,82000
North Carolina State University,Data Science,Engineering,BS,9128,29220,55,No,No,75000
Colorado School of Mines,Computer Science,CESE,BS,19836,42198,70,Yes,No,80000
Colorado School of Mines,Data Science,AMS,BS,19836,42198,80,No,No,76000
University of Colorado Boulder,Computer Science,Engineering,BS,13590,40488,50,No,No,82000
University of Colorado Boulder,Data Science,Engineering,BS,13590,40488,58,No,No,76000
Arizona State University,Computer Science,Fulton,BS,12467,30592,45,No,Yes,78000
Arizona State University,Data Science,Fulton,BS,12467,30592,55,No,Yes,72000
Arizona State University,Cybersecurity,Fulton,BS,12467,30592,48,No,Yes,75000
University of Pittsburgh,Computer Science,SCI,BS,20220,37332,50,Yes,No,80000
University of Pittsburgh,Data Science,SCI,BS,20220,37332,58,No,No,75000
Clemson University,Computer Science,Engineering,BS,15558,39498,62,Yes,No,76000
Clemson University,Data Science,Science,BS,15558,39498,72,No,No,70000
Texas A&M University,Computer Science,Engineering,BS,12413,40607,34,No,No,85000
Texas A&M University,Data Science,Engineering,BS,12413,40607,40,No,No,78000
Texas A&M University,Cybersecurity,Engineering,BS,12413,40607,32,No,No,80000
University of Virginia,Computer Science,Engineering,BS,19698,55914,36,No,No,90000
University of Virginia,Data Science,Data Science School,BS,19698,55914,14,No,No,88000
Indiana University Bloomington,Computer Science,Luddy,BS,11220,38364,45,No,No,78000
Indiana University Bloomington,Data Science,Luddy,BS,11220,38364,32,No,No,76000
Indiana University Bloomington,Cybersecurity,Luddy,BS,11220,38364,28,No,No,80000
Northeastern University,Computer Science,Khoury,BS,60192,60192,30,Yes,No,95000
Northeastern University,Data Science,Khoury,BS,60192,60192,25,Yes,No,88000
Northeastern University,Cybersecurity,Khoury,BS,60192,60192,18,Yes,No,90000
Boston University,Computer Science,CAS,BS,62360,62360,38,No,No,88000
Boston University,Data Science,CDS,BS,62360,62360,28,No,No,84000
Lehigh University,Computer Science,Engineering,BS,60180,60180,68,No,No,82000
Lehigh University,Data Science,Engineering,BS,60180,60180,75,No,No,78000
